person_id,eye_type,ear_value_left,ear_value_right,mode_eyes
1,Almond,0.363,0.349,Open
1,Almond,0.305,0.291,Close
1,Almond,0.300,0.286,Close
1,Almond,0.314,0.303,Close
1,Almond,0.310,0.299,Close
1,Almond,0.313,0.301,Close
1,Almond,0.331,0.321,Open
1,Almond,0.330,0.321,Open
1,Almond,0.395,0.380,Open
1,Almond,0.374,0.360,Open
1,Almond,0.396,0.380,Open
1,Almond,0.389,0.371,Open
1,Almond,0.388,0.371,Open
1,Almond,0.400,0.385,Open
1,Almond,0.389,0.372,Open
1,Almond,0.395,0.379,Open
1,Almond,0.399,0.386,Open
1,Almond,0.397,0.380,Open
1,Almond,0.399,0.381,Open
1,Almond,0.397,0.379,Open
1,Almond,0.412,0.394,Open
1,Almond,0.411,0.393,Open
1,Almond,0.397,0.380,Open
1,Almond,0.405,0.387,Open
1,Almond,0.404,0.386,Open
1,Almond,0.409,0.393,Open
1,Almond,0.403,0.386,Open
1,Almond,0.404,0.387,Open
1,Almond,0.402,0.389,Open
1,Almond,0.403,0.388,Open
1,Almond,0.379,0.363,Open
1,Almond,0.378,0.365,Open
1,Almond,0.308,0.291,Close
1,Almond,0.326,0.311,Close
1,Almond,0.322,0.306,Close
1,Almond,0.315,0.302,Close
1,Almond,0.307,0.293,Close
1,Almond,0.310,0.291,Close
1,Almond,0.309,0.292,Close
1,Almond,0.326,0.311,Close
1,Almond,0.321,0.306,Close
1,Almond,0.312,0.293,Close
1,Almond,0.383,0.364,Open
1,Almond,0.361,0.342,Open
1,Almond,0.400,0.382,Open
1,Almond,0.388,0.367,Open
1,Almond,0.387,0.366,Open
1,Almond,0.397,0.375,Open
1,Almond,0.395,0.372,Open
1,Almond,0.399,0.380,Open
1,Almond,0.399,0.381,Open
1,Almond,0.391,0.374,Open
1,Almond,0.389,0.375,Open
1,Almond,0.410,0.391,Open
1,Almond,0.390,0.373,Open
1,Almond,0.391,0.374,Open
1,Almond,0.391,0.372,Open
1,Almond,0.403,0.381,Open
1,Almond,0.398,0.379,Open
1,Almond,0.400,0.381,Open
1,Almond,0.396,0.375,Open
1,Almond,0.396,0.376,Open
1,Almond,0.397,0.379,Open
1,Almond,0.403,0.384,Open
1,Almond,0.404,0.386,Open
1,Almond,0.338,0.318,Open
1,Almond,0.304,0.290,Close
1,Almond,0.318,0.302,Close
1,Almond,0.311,0.294,Close
1,Almond,0.310,0.290,Close
1,Almond,0.317,0.301,Close
1,Almond,0.328,0.316,Open
1,Almond,0.322,0.308,Close
1,Almond,0.328,0.316,Open
1,Almond,0.323,0.308,Close
1,Almond,0.377,0.358,Open
1,Almond,0.358,0.338,Open
1,Almond,0.391,0.371,Open
1,Almond,0.399,0.380,Open
1,Almond,0.394,0.372,Open
1,Almond,0.390,0.367,Open
1,Almond,0.383,0.362,Open
1,Almond,0.382,0.362,Open
1,Almond,0.404,0.386,Open
1,Almond,0.397,0.381,Open
1,Almond,0.401,0.379,Open
1,Almond,0.404,0.383,Open
1,Almond,0.403,0.385,Open
1,Almond,0.405,0.387,Open
1,Almond,0.403,0.384,Open
1,Almond,0.406,0.387,Open
1,Almond,0.409,0.391,Open
1,Almond,0.403,0.384,Open
1,Almond,0.411,0.394,Open
1,Almond,0.419,0.406,Open
1,Almond,0.418,0.400,Open
1,Almond,0.421,0.407,Open
1,Almond,0.426,0.412,Open
1,Almond,0.419,0.404,Open
1,Almond,0.343,0.325,Open
1,Almond,0.363,0.343,Open
1,Almond,0.329,0.312,Close
1,Almond,0.331,0.314,Close
1,Almond,0.316,0.299,Close
1,Almond,0.311,0.294,Close
1,Almond,0.305,0.283,Close
1,Almond,0.308,0.289,Close
1,Almond,0.326,0.312,Close
1,Almond,0.330,0.317,Open
1,Almond,0.355,0.334,Open
1,Almond,0.348,0.324,Open
1,Almond,0.397,0.372,Open
1,Almond,0.387,0.364,Open
1,Almond,0.384,0.360,Open
1,Almond,0.386,0.361,Open
1,Almond,0.402,0.378,Open
1,Almond,0.408,0.386,Open
1,Almond,0.414,0.396,Open
1,Almond,0.408,0.389,Open
1,Almond,0.404,0.385,Open
1,Almond,0.405,0.387,Open
1,Almond,0.405,0.386,Open
1,Almond,0.406,0.387,Open
1,Almond,0.406,0.387,Open
1,Almond,0.407,0.388,Open
1,Almond,0.403,0.382,Open
1,Almond,0.402,0.382,Open
1,Almond,0.395,0.377,Open
1,Almond,0.395,0.378,Open
1,Almond,0.407,0.385,Open
1,Almond,0.403,0.380,Open
1,Almond,0.402,0.380,Open
1,Almond,0.402,0.381,Open
1,Almond,0.401,0.381,Open
1,Almond,0.407,0.387,Open
1,Almond,0.313,0.289,Close
1,Almond,0.333,0.314,Close
1,Almond,0.318,0.301,Close
1,Almond,0.305,0.288,Close
1,Almond,0.303,0.281,Close
1,Almond,0.306,0.281,Close
1,Almond,0.331,0.312,Close
1,Almond,0.313,0.297,Close
1,Almond,0.325,0.306,Close
1,Almond,0.323,0.303,Close
1,Almond,0.360,0.332,Open
1,Almond,0.348,0.325,Open
1,Almond,0.372,0.348,Open
1,Almond,0.372,0.350,Open
1,Almond,0.389,0.365,Open
1,Almond,0.389,0.368,Open
1,Almond,0.381,0.359,Open
1,Almond,0.380,0.359,Open
1,Almond,0.389,0.365,Open
1,Almond,0.394,0.371,Open
1,Almond,0.420,0.398,Open
1,Almond,0.418,0.397,Open
1,Almond,0.416,0.398,Open
1,Almond,0.421,0.406,Open
1,Almond,0.426,0.405,Open
1,Almond,0.420,0.402,Open
1,Almond,0.425,0.412,Open
1,Almond,0.427,0.413,Open
1,Almond,0.428,0.415,Open
1,Almond,0.424,0.411,Open
1,Almond,0.427,0.410,Open
1,Almond,0.429,0.410,Open
1,Almond,0.419,0.402,Open
1,Almond,0.423,0.405,Open
1,Almond,0.425,0.406,Open
1,Almond,0.423,0.403,Open
1,Almond,0.388,0.368,Open
1,Almond,0.393,0.374,Open
1,Almond,0.306,0.290,Close
1,Almond,0.334,0.320,Open
1,Almond,0.328,0.311,Close
1,Almond,0.306,0.285,Close
1,Almond,0.306,0.287,Close
1,Almond,0.324,0.305,Close
1,Almond,0.321,0.298,Close
1,Almond,0.324,0.303,Close
1,Almond,0.331,0.303,Close
1,Almond,0.317,0.290,Close
1,Almond,0.391,0.367,Open
1,Almond,0.381,0.358,Open
1,Almond,0.396,0.373,Open
1,Almond,0.399,0.376,Open
1,Almond,0.397,0.372,Open
1,Almond,0.397,0.372,Open
1,Almond,0.390,0.374,Open
1,Almond,0.391,0.375,Open
1,Almond,0.386,0.366,Open
1,Almond,0.386,0.365,Open
1,Almond,0.404,0.383,Open
1,Almond,0.402,0.380,Open
1,Almond,0.399,0.376,Open
1,Almond,0.391,0.368,Open
1,Almond,0.396,0.375,Open
1,Almond,0.399,0.380,Open
1,Almond,0.403,0.382,Open
1,Almond,0.402,0.381,Open
1,Almond,0.400,0.376,Open
1,Almond,0.399,0.375,Open
1,Almond,0.399,0.378,Open
1,Almond,0.401,0.379,Open
1,Almond,0.374,0.348,Open
1,Almond,0.367,0.345,Open
1,Almond,0.296,0.276,Close
1,Almond,0.321,0.304,Close
1,Almond,0.319,0.300,Close
1,Almond,0.315,0.292,Close
1,Almond,0.320,0.299,Close
1,Almond,0.322,0.301,Close
1,Almond,0.324,0.303,Close
1,Almond,0.327,0.306,Close
1,Almond,0.366,0.340,Open
1,Almond,0.349,0.318,Open
1,Almond,0.399,0.375,Open
1,Almond,0.395,0.369,Open
1,Almond,0.417,0.396,Open
1,Almond,0.419,0.397,Open
1,Almond,0.419,0.399,Open
1,Almond,0.419,0.400,Open
1,Almond,0.427,0.409,Open
1,Almond,0.428,0.409,Open
1,Almond,0.420,0.401,Open
1,Almond,0.425,0.404,Open
1,Almond,0.425,0.406,Open
1,Almond,0.429,0.409,Open
1,Almond,0.413,0.391,Open
1,Almond,0.413,0.391,Open
1,Almond,0.433,0.414,Open
1,Almond,0.433,0.414,Open
1,Almond,0.418,0.395,Open
1,Almond,0.415,0.393,Open
1,Almond,0.424,0.404,Open
1,Almond,0.418,0.400,Open
1,Almond,0.420,0.398,Open
1,Almond,0.421,0.399,Open
1,Almond,0.417,0.394,Open
1,Almond,0.414,0.392,Open
1,Almond,0.402,0.378,Open
1,Almond,0.409,0.387,Open
1,Almond,0.410,0.388,Open
1,Almond,0.408,0.386,Open
1,Almond,0.410,0.387,Open
1,Almond,0.409,0.386,Open
1,Almond,0.422,0.404,Open
1,Almond,0.428,0.411,Open
1,Almond,0.415,0.397,Open
1,Almond,0.416,0.399,Open
1,Almond,0.422,0.405,Open
1,Almond,0.420,0.402,Open
1,Almond,0.415,0.399,Open
1,Almond,0.417,0.401,Open
1,Almond,0.433,0.414,Open
1,Almond,0.434,0.414,Open
1,Almond,0.427,0.409,Open
1,Almond,0.427,0.408,Open
1,Almond,0.429,0.415,Open
1,Almond,0.434,0.419,Open
1,Almond,0.433,0.417,Open
1,Almond,0.433,0.417,Open
1,Almond,0.431,0.416,Open
1,Almond,0.431,0.413,Open
1,Almond,0.431,0.408,Open
1,Almond,0.430,0.406,Open
1,Almond,0.440,0.421,Open
1,Almond,0.438,0.417,Open
1,Almond,0.440,0.423,Open
1,Almond,0.438,0.421,Open
1,Almond,0.438,0.419,Open
1,Almond,0.439,0.424,Open
1,Almond,0.430,0.419,Open
1,Almond,0.433,0.422,Open
1,Almond,0.432,0.415,Open
1,Almond,0.427,0.413,Open
1,Almond,0.438,0.423,Open
1,Almond,0.436,0.418,Open
1,Almond,0.433,0.423,Open
1,Almond,0.436,0.430,Open
1,Almond,0.437,0.425,Open
1,Almond,0.436,0.421,Open
1,Almond,0.452,0.436,Open
1,Almond,0.449,0.433,Open
1,Almond,0.442,0.427,Open
1,Almond,0.442,0.428,Open
1,Almond,0.433,0.419,Open
1,Almond,0.438,0.426,Open
1,Almond,0.445,0.431,Open
1,Almond,0.438,0.421,Open
1,Almond,0.437,0.421,Open
1,Almond,0.440,0.424,Open
1,Almond,0.437,0.421,Open
1,Almond,0.435,0.420,Open
1,Almond,0.438,0.424,Open
1,Almond,0.435,0.422,Open
1,Almond,0.431,0.416,Open
1,Almond,0.431,0.416,Open
1,Almond,0.433,0.417,Open
1,Almond,0.430,0.411,Open
1,Almond,0.438,0.417,Open
1,Almond,0.433,0.414,Open
1,Almond,0.436,0.416,Open
1,Almond,0.439,0.418,Open
1,Almond,0.433,0.415,Open
1,Almond,0.437,0.419,Open
1,Almond,0.436,0.419,Open
1,Almond,0.433,0.415,Open
1,Almond,0.363,0.344,Open
1,Almond,0.365,0.342,Open
1,Almond,0.300,0.279,Close
1,Almond,0.317,0.297,Close
1,Almond,0.323,0.303,Close
1,Almond,0.313,0.289,Close
1,Almond,0.313,0.289,Close
1,Almond,0.307,0.285,Close
1,Almond,0.294,0.276,Close
1,Almond,0.305,0.288,Close
1,Almond,0.313,0.294,Close
1,Almond,0.313,0.292,Close
1,Almond,0.314,0.293,Close
1,Almond,0.314,0.293,Close
1,Almond,0.304,0.278,Close
1,Almond,0.304,0.279,Close
1,Almond,0.308,0.286,Close
1,Almond,0.304,0.281,Close
1,Almond,0.298,0.275,Close
1,Almond,0.310,0.284,Close
1,Almond,0.306,0.278,Close
1,Almond,0.312,0.285,Close
1,Almond,0.310,0.283,Close
1,Almond,0.306,0.278,Close
1,Almond,0.301,0.273,Close
1,Almond,0.295,0.268,Close
1,Almond,0.306,0.283,Close
1,Almond,0.310,0.286,Close
1,Almond,0.303,0.274,Close
1,Almond,0.300,0.274,Close
1,Almond,0.302,0.274,Close
1,Almond,0.304,0.278,Close
1,Almond,0.311,0.283,Close
1,Almond,0.314,0.286,Close
1,Almond,0.316,0.285,Close
1,Almond,0.311,0.283,Close
1,Almond,0.308,0.284,Close
1,Almond,0.317,0.290,Close
1,Almond,0.305,0.279,Close
1,Almond,0.316,0.288,Close
1,Almond,0.311,0.285,Close
1,Almond,0.309,0.284,Close
1,Almond,0.310,0.285,Close
1,Almond,0.304,0.278,Close
1,Almond,0.306,0.279,Close
1,Almond,0.310,0.283,Close
1,Almond,0.314,0.289,Close
1,Almond,0.315,0.291,Close
1,Almond,0.295,0.271,Close
1,Almond,0.307,0.279,Close
1,Almond,0.313,0.288,Close
1,Almond,0.306,0.280,Close
1,Almond,0.314,0.288,Close
1,Almond,0.313,0.285,Close
1,Almond,0.309,0.280,Close
1,Almond,0.299,0.275,Close
1,Almond,0.307,0.280,Close
1,Almond,0.309,0.284,Close
1,Almond,0.307,0.280,Close
1,Almond,0.306,0.279,Close
1,Almond,0.315,0.282,Close
1,Almond,0.316,0.288,Close
1,Almond,0.318,0.289,Close
1,Almond,0.317,0.289,Close
1,Almond,0.319,0.290,Close
1,Almond,0.328,0.290,Close
1,Almond,0.333,0.295,Close
1,Almond,0.379,0.342,Open
1,Almond,0.388,0.352,Open
1,Almond,0.391,0.357,Open
1,Almond,0.411,0.384,Open
1,Almond,0.405,0.377,Open
1,Almond,0.407,0.384,Open
1,Almond,0.406,0.381,Open
1,Almond,0.419,0.390,Open
1,Almond,0.421,0.394,Open
1,Almond,0.423,0.396,Open
1,Almond,0.426,0.402,Open
1,Almond,0.422,0.395,Open
1,Almond,0.424,0.399,Open
1,Almond,0.428,0.401,Open
1,Almond,0.429,0.402,Open
1,Almond,0.429,0.404,Open
1,Almond,0.428,0.404,Open
1,Almond,0.428,0.404,Open
1,Almond,0.426,0.403,Open
1,Almond,0.386,0.361,Open
1,Almond,0.391,0.364,Open
1,Almond,0.394,0.366,Open
1,Almond,0.327,0.299,Close
1,Almond,0.325,0.302,Close
1,Almond,0.340,0.313,Open
1,Almond,0.323,0.294,Close
1,Almond,0.322,0.292,Close
1,Almond,0.395,0.369,Open
1,Almond,0.385,0.358,Open
1,Almond,0.411,0.386,Open
1,Almond,0.409,0.386,Open
1,Almond,0.410,0.385,Open
1,Almond,0.412,0.389,Open
1,Almond,0.416,0.393,Open
1,Almond,0.427,0.405,Open
1,Almond,0.428,0.406,Open
1,Almond,0.432,0.409,Open
1,Almond,0.429,0.407,Open
1,Almond,0.437,0.415,Open
1,Almond,0.425,0.402,Open
1,Almond,0.426,0.403,Open
1,Almond,0.427,0.407,Open
1,Almond,0.427,0.406,Open
1,Almond,0.428,0.405,Open
1,Almond,0.433,0.407,Open
1,Almond,0.430,0.404,Open
1,Almond,0.442,0.423,Open
1,Almond,0.446,0.426,Open
1,Almond,0.384,0.363,Open
1,Almond,0.315,0.295,Close
1,Almond,0.320,0.299,Close
1,Almond,0.321,0.298,Close
1,Almond,0.322,0.298,Close
1,Almond,0.319,0.296,Close
1,Almond,0.368,0.336,Open
1,Almond,0.368,0.336,Open
1,Almond,0.416,0.391,Open
1,Almond,0.417,0.392,Open
1,Almond,0.435,0.413,Open
1,Almond,0.432,0.410,Open
1,Almond,0.429,0.409,Open
1,Almond,0.428,0.408,Open
1,Almond,0.434,0.413,Open
1,Almond,0.440,0.419,Open
1,Almond,0.442,0.420,Open
1,Almond,0.436,0.414,Open
1,Almond,0.431,0.407,Open
1,Almond,0.428,0.408,Open
1,Almond,0.420,0.398,Open
1,Almond,0.425,0.405,Open
1,Almond,0.444,0.420,Open
1,Almond,0.444,0.420,Open
1,Almond,0.444,0.420,Open
1,Almond,0.439,0.416,Open
1,Almond,0.435,0.412,Open
1,Almond,0.439,0.415,Open
1,Almond,0.439,0.416,Open
1,Almond,0.438,0.416,Open
1,Almond,0.438,0.413,Open
1,Almond,0.435,0.410,Open
1,Almond,0.419,0.396,Open
1,Almond,0.428,0.408,Open
1,Almond,0.342,0.318,Open
1,Almond,0.334,0.313,Close
1,Almond,0.332,0.309,Close
1,Almond,0.335,0.309,Close
1,Almond,0.340,0.312,Open
1,Almond,0.334,0.308,Close
1,Almond,0.410,0.387,Open
1,Almond,0.402,0.376,Open
1,Almond,0.422,0.401,Open
1,Almond,0.420,0.399,Open
1,Almond,0.424,0.402,Open
1,Almond,0.426,0.404,Open
1,Almond,0.437,0.413,Open
1,Almond,0.440,0.414,Open
1,Almond,0.437,0.411,Open
1,Almond,0.444,0.419,Open
1,Almond,0.447,0.421,Open
1,Almond,0.445,0.420,Open
1,Almond,0.440,0.416,Open
1,Almond,0.443,0.420,Open
1,Almond,0.448,0.426,Open
1,Almond,0.452,0.431,Open
1,Almond,0.444,0.421,Open
1,Almond,0.444,0.422,Open
1,Almond,0.448,0.425,Open
1,Almond,0.449,0.427,Open
1,Almond,0.441,0.419,Open
1,Almond,0.442,0.418,Open
1,Almond,0.441,0.419,Open
1,Almond,0.442,0.419,Open
1,Almond,0.445,0.420,Open
1,Almond,0.442,0.418,Open
1,Almond,0.414,0.389,Open
1,Almond,0.412,0.387,Open
1,Almond,0.350,0.322,Open
1,Almond,0.325,0.302,Close
1,Almond,0.314,0.286,Close
1,Almond,0.330,0.303,Close
1,Almond,0.367,0.337,Open
1,Almond,0.368,0.340,Open
1,Almond,0.415,0.388,Open
1,Almond,0.415,0.391,Open
1,Almond,0.427,0.401,Open
1,Almond,0.428,0.403,Open
1,Almond,0.430,0.405,Open
1,Almond,0.431,0.407,Open
1,Almond,0.433,0.414,Open
1,Almond,0.434,0.416,Open
1,Almond,0.433,0.411,Open
1,Almond,0.436,0.413,Open
1,Almond,0.424,0.399,Open
1,Almond,0.431,0.406,Open
1,Almond,0.447,0.421,Open
1,Almond,0.450,0.424,Open
1,Almond,0.437,0.414,Open
1,Almond,0.433,0.409,Open
1,Almond,0.435,0.411,Open
1,Almond,0.442,0.418,Open
1,Almond,0.442,0.417,Open
1,Almond,0.444,0.420,Open
1,Almond,0.446,0.425,Open
1,Almond,0.444,0.425,Open
1,Almond,0.451,0.431,Open
1,Almond,0.452,0.430,Open
1,Almond,0.448,0.424,Open
1,Almond,0.447,0.422,Open
1,Almond,0.443,0.415,Open
1,Almond,0.447,0.420,Open
1,Almond,0.443,0.416,Open
1,Almond,0.438,0.410,Open
1,Almond,0.437,0.412,Open
1,Almond,0.437,0.410,Open
1,Almond,0.386,0.359,Open
1,Almond,0.386,0.356,Open
1,Almond,0.349,0.323,Open
1,Almond,0.346,0.322,Open
1,Almond,0.335,0.307,Close
1,Almond,0.333,0.306,Close
1,Almond,0.348,0.317,Open
1,Almond,0.344,0.316,Open
1,Almond,0.393,0.364,Open
1,Almond,0.392,0.363,Open
1,Almond,0.423,0.396,Open
1,Almond,0.418,0.392,Open
1,Almond,0.436,0.408,Open
1,Almond,0.435,0.407,Open
1,Almond,0.424,0.393,Open
1,Almond,0.425,0.395,Open
1,Almond,0.422,0.396,Open
1,Almond,0.421,0.394,Open
1,Almond,0.434,0.404,Open
1,Almond,0.433,0.404,Open
1,Almond,0.431,0.406,Open
1,Almond,0.432,0.407,Open
1,Almond,0.434,0.408,Open
1,Almond,0.432,0.407,Open
1,Almond,0.435,0.408,Open
1,Almond,0.428,0.400,Open
1,Almond,0.433,0.409,Open
1,Almond,0.425,0.400,Open
1,Almond,0.432,0.403,Open
1,Almond,0.437,0.408,Open
1,Almond,0.444,0.418,Open
1,Almond,0.437,0.414,Open
1,Almond,0.382,0.351,Open
1,Almond,0.379,0.346,Open
1,Almond,0.345,0.317,Open
1,Almond,0.346,0.320,Open
1,Almond,0.359,0.333,Open
1,Almond,0.361,0.334,Open
1,Almond,0.355,0.322,Open
1,Almond,0.364,0.331,Open
1,Almond,0.392,0.361,Open
1,Almond,0.388,0.357,Open
1,Almond,0.411,0.378,Open
1,Almond,0.408,0.376,Open
1,Almond,0.414,0.387,Open
1,Almond,0.413,0.386,Open
1,Almond,0.413,0.382,Open
1,Almond,0.412,0.381,Open
1,Almond,0.418,0.385,Open
1,Almond,0.418,0.387,Open
1,Almond,0.404,0.370,Open
1,Almond,0.416,0.386,Open
1,Almond,0.423,0.392,Open
1,Almond,0.423,0.392,Open
1,Almond,0.411,0.375,Open
1,Almond,0.417,0.383,Open
1,Almond,0.413,0.379,Open
1,Almond,0.416,0.381,Open
1,Almond,0.357,0.328,Open
1,Almond,0.353,0.325,Open
1,Almond,0.347,0.319,Open
1,Almond,0.348,0.319,Open
1,Almond,0.356,0.322,Open
1,Almond,0.359,0.325,Open
1,Almond,0.403,0.364,Open
1,Almond,0.403,0.363,Open
1,Almond,0.425,0.387,Open
1,Almond,0.423,0.388,Open
1,Almond,0.424,0.390,Open
1,Almond,0.428,0.394,Open
1,Almond,0.434,0.399,Open
1,Almond,0.433,0.397,Open
1,Almond,0.426,0.392,Open
1,Almond,0.427,0.393,Open
1,Almond,0.416,0.384,Open
1,Almond,0.421,0.391,Open
1,Almond,0.429,0.395,Open
1,Almond,0.425,0.390,Open
1,Almond,0.417,0.382,Open
1,Almond,0.417,0.381,Open
1,Almond,0.427,0.391,Open
1,Almond,0.418,0.384,Open
1,Almond,0.416,0.384,Open
1,Almond,0.421,0.390,Open
1,Almond,0.428,0.391,Open
1,Almond,0.432,0.394,Open
1,Almond,0.424,0.389,Open
1,Almond,0.426,0.391,Open
1,Almond,0.424,0.393,Open
1,Almond,0.424,0.394,Open
1,Almond,0.426,0.395,Open
1,Almond,0.423,0.391,Open
1,Almond,0.421,0.390,Open
1,Almond,0.424,0.396,Open
1,Almond,0.421,0.390,Open
1,Almond,0.421,0.387,Open
1,Almond,0.429,0.397,Open
1,Almond,0.432,0.400,Open
1,Almond,0.431,0.396,Open
1,Almond,0.432,0.397,Open
1,Almond,0.426,0.393,Open
1,Almond,0.419,0.388,Open
1,Almond,0.433,0.398,Open
1,Almond,0.432,0.397,Open
1,Almond,0.450,0.415,Open
1,Almond,0.448,0.416,Open
1,Almond,0.437,0.404,Open
1,Almond,0.436,0.406,Open
1,Almond,0.425,0.392,Open
1,Almond,0.424,0.391,Open
1,Almond,0.341,0.312,Open
1,Almond,0.338,0.314,Open
1,Almond,0.346,0.315,Open
1,Almond,0.339,0.309,Open
1,Almond,0.384,0.352,Open
1,Almond,0.372,0.338,Open
1,Almond,0.418,0.384,Open
1,Almond,0.411,0.378,Open
1,Almond,0.425,0.394,Open
1,Almond,0.425,0.393,Open
1,Almond,0.434,0.402,Open
1,Almond,0.424,0.392,Open
1,Almond,0.428,0.396,Open
1,Almond,0.425,0.394,Open
1,Almond,0.424,0.395,Open
1,Almond,0.424,0.394,Open
1,Almond,0.414,0.382,Open
1,Almond,0.409,0.378,Open
1,Almond,0.418,0.387,Open
1,Almond,0.421,0.390,Open
1,Almond,0.418,0.389,Open
1,Almond,0.421,0.392,Open
1,Almond,0.410,0.381,Open
1,Almond,0.414,0.387,Open
1,Almond,0.420,0.391,Open
1,Almond,0.419,0.390,Open
1,Almond,0.419,0.391,Open
1,Almond,0.421,0.392,Open
1,Almond,0.409,0.380,Open
1,Almond,0.413,0.384,Open
1,Almond,0.417,0.388,Open
1,Almond,0.415,0.383,Open
1,Almond,0.418,0.391,Open
1,Almond,0.418,0.391,Open
1,Almond,0.420,0.390,Open
1,Almond,0.420,0.390,Open
1,Almond,0.412,0.382,Open
1,Almond,0.412,0.380,Open
1,Almond,0.422,0.393,Open
1,Almond,0.426,0.396,Open
1,Almond,0.425,0.396,Open
1,Almond,0.425,0.396,Open
1,Almond,0.420,0.388,Open
1,Almond,0.428,0.394,Open
1,Almond,0.352,0.322,Open
1,Almond,0.357,0.326,Open
1,Almond,0.342,0.316,Open
1,Almond,0.344,0.317,Open
1,Almond,0.351,0.318,Open
1,Almond,0.358,0.324,Open
1,Almond,0.400,0.369,Open
1,Almond,0.400,0.369,Open
1,Almond,0.427,0.396,Open
1,Almond,0.421,0.392,Open
1,Almond,0.433,0.400,Open
1,Almond,0.434,0.401,Open
1,Almond,0.433,0.398,Open
1,Almond,0.430,0.398,Open
1,Almond,0.430,0.399,Open
1,Almond,0.428,0.398,Open
1,Almond,0.442,0.409,Open
1,Almond,0.441,0.410,Open
1,Almond,0.456,0.428,Open
1,Almond,0.454,0.426,Open
1,Almond,0.458,0.429,Open
1,Almond,0.461,0.432,Open
1,Almond,0.455,0.425,Open
1,Almond,0.455,0.425,Open
1,Almond,0.447,0.418,Open
1,Almond,0.440,0.411,Open
1,Almond,0.373,0.337,Open
1,Almond,0.370,0.341,Open
1,Almond,0.374,0.341,Open
1,Almond,0.342,0.309,Open
1,Almond,0.346,0.315,Open
1,Almond,0.351,0.318,Open
1,Almond,0.396,0.362,Open
1,Almond,0.402,0.365,Open
1,Almond,0.425,0.393,Open
1,Almond,0.433,0.406,Open
1,Almond,0.441,0.408,Open
1,Almond,0.439,0.406,Open
1,Almond,0.440,0.409,Open
1,Almond,0.439,0.407,Open
1,Almond,0.436,0.403,Open
1,Almond,0.436,0.406,Open
1,Almond,0.438,0.406,Open
1,Almond,0.432,0.401,Open
1,Almond,0.448,0.423,Open
1,Almond,0.450,0.426,Open
1,Almond,0.440,0.407,Open
1,Almond,0.446,0.414,Open
1,Almond,0.443,0.416,Open
1,Almond,0.440,0.412,Open
1,Almond,0.442,0.413,Open
1,Almond,0.440,0.411,Open
1,Almond,0.441,0.413,Open
1,Almond,0.439,0.412,Open
1,Almond,0.435,0.411,Open
1,Almond,0.433,0.408,Open
1,Almond,0.435,0.402,Open
1,Almond,0.435,0.403,Open
1,Almond,0.358,0.328,Open
1,Almond,0.348,0.322,Open
1,Almond,0.343,0.317,Open
1,Almond,0.351,0.325,Open
1,Almond,0.356,0.328,Open
1,Almond,0.344,0.310,Open
1,Almond,0.349,0.315,Open
1,Almond,0.403,0.367,Open
1,Almond,0.417,0.382,Open
1,Almond,0.421,0.388,Open
1,Almond,0.434,0.402,Open
1,Almond,0.436,0.406,Open
1,Almond,0.443,0.412,Open
1,Almond,0.442,0.409,Open
1,Almond,0.436,0.402,Open
1,Almond,0.436,0.402,Open
1,Almond,0.436,0.401,Open
1,Almond,0.424,0.390,Open
1,Almond,0.426,0.393,Open
1,Almond,0.445,0.409,Open
1,Almond,0.438,0.405,Open
1,Almond,0.436,0.401,Open
1,Almond,0.435,0.399,Open
1,Almond,0.438,0.404,Open
1,Almond,0.413,0.378,Open
1,Almond,0.416,0.381,Open
1,Almond,0.370,0.342,Open
1,Almond,0.361,0.334,Open
1,Almond,0.361,0.333,Open
1,Almond,0.349,0.323,Open
1,Almond,0.336,0.311,Close
1,Almond,0.338,0.308,Open
1,Almond,0.349,0.320,Open
1,Almond,0.348,0.318,Open
1,Almond,0.356,0.325,Open
1,Almond,0.347,0.320,Open
1,Almond,0.335,0.311,Close
1,Almond,0.341,0.318,Open
1,Almond,0.341,0.318,Open
1,Almond,0.350,0.322,Open
1,Almond,0.341,0.318,Open
1,Almond,0.385,0.361,Open
1,Almond,0.367,0.341,Open
1,Almond,0.433,0.414,Open
1,Almond,0.432,0.407,Open
1,Almond,0.437,0.417,Open
1,Almond,0.430,0.407,Open
1,Almond,0.418,0.396,Open
1,Almond,0.427,0.407,Open
1,Almond,0.422,0.404,Open
1,Almond,0.424,0.408,Open
1,Almond,0.438,0.422,Open
1,Almond,0.433,0.416,Open
1,Almond,0.429,0.411,Open
1,Almond,0.430,0.410,Open
1,Almond,0.429,0.411,Open
1,Almond,0.440,0.422,Open
1,Almond,0.432,0.412,Open
1,Almond,0.433,0.412,Open
1,Almond,0.435,0.412,Open
1,Almond,0.435,0.412,Open
1,Almond,0.428,0.406,Open
1,Almond,0.432,0.413,Open
1,Almond,0.435,0.416,Open
1,Almond,0.435,0.417,Open
1,Almond,0.427,0.409,Open
1,Almond,0.426,0.409,Open
1,Almond,0.425,0.409,Open
1,Almond,0.428,0.415,Open
1,Almond,0.428,0.416,Open
1,Almond,0.432,0.419,Open
1,Almond,0.430,0.415,Open
1,Almond,0.431,0.416,Open
1,Almond,0.433,0.422,Open
1,Almond,0.433,0.423,Open
1,Almond,0.432,0.420,Open
1,Almond,0.436,0.425,Open
1,Almond,0.429,0.417,Open
1,Almond,0.437,0.425,Open
